序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置
1011,臺東縣東河鄉,泰源村,本部落11鄰297號,121.285041,22.998414,泰源國小,泰源村,310,土石流,劉雪珍總務主任,089-891011泰源國小,否,否,否
1012,臺南市中西區,協進里,金華路四段17號,120.1875,22.9987,臺南市中西區協進國小,西賢里、西湖里、光賢里、文賢里、協和里、藥王里、協進里、大涼里、民主里、安海里,900,"水災,震災",林志丞,06-2223369#809,是,是,是
1013,臺南市永康區,復興里,復興路356巷13號,120.2415,22.9988,臺南市永康區復興里活動中心,復興里、周邊居民,44,水災,李鎮國,06-3125548,是,否,否
1014,臺南市中西區,赤嵌里,成功路 235 號,120.20317,22.998887,臺南市中西區成功國小,三合里、普濟里、水仙里、民權里、中正里、天后里、赤崁里,1200,"水災,震災",黃千芳,06-2222239#709,是,是,是
1015,高雄市六龜區,六龜里,華北街60-1號,120.6301,22.9991,六龜社區活動中心,六龜里,100,"水災,震災,土石流,海嘯",六龜里長邱國輝,07-6893020,是,否,是
1016,高雄市杉林區,新庄里,司馬路384巷5號,120.574128,22.999381,新和社區活動中心,新庄里,30,"水災,震災,土石流,海嘯",賴春義,6774013,是,否,是
1017,臺南市安平區,平安里,民權路四段325號,120.17692,22.999443,臺南市安平區平安里活動中心,平安里,237,"水災,震災",蔡陳阿麗,06-2258366,是,否,是
1018,臺東縣海端鄉,加拿村,1鄰加南1號,121.130244,22.999481,原加拿托兒所,加拿村,50,"水災,震災,土石流,海嘯",胡淑貞,089-811044,是,否,是
1019,臺南市北區,五福里,成功路238巷7號,120.2029,22.9997,臺南市北區區公所,五福里、三德里、玉皇里,50,水災,林正雄,06-2110711,是,否,是
1020,臺南市安平區,石門里,安平路700號,120.166309,22.999878,臺南市安平區石門國小-操場,全區,1001,震災,郭芳朱,06-2223332,否,是,是
1021,臺南市北區,東興里,小東路401巷51號之1,120.232393,22.99999,臺南市北區東興社區活動中心,東興里、重興里、仁愛里,45,水災,王泉尚,06-2346426,是,否,是
1022,彰化縣芬園鄉,圳墘村,彰南路二段36號,120,23,寶山國小,縣庄村 溪頭村 圳墘村,100,"水災,震災,土石流,海嘯",許安柔,049-2523968,否,否,否
1023,彰化縣芬園鄉,中崙村,大彰路二段100巷36號,120,23,同安國小,同安村 中崙村 大竹村,100,"水災,震災,土石流,海嘯",許安柔,049-2523968,是,否,是
1024,臺南市北區,公園里,公園南路39號,120.2116,23.0002,臺南市北區公園里活動中心,公園里,45,水災,陳逸恬,06-2110711,是,否,是
1025,臺南市龍崎區,石[石曹]里,4鄰刺子崙13之3號,120.3974,23.0002,臺南市龍崎區石[石曹]里里民活動中心,石[石曹]里,30,水災,陳新振,06-5941326,是,否,是
1026,臺南市北區,公園里,公園路180號,120.2091,23.0003,臺南市北區公園國小,公園里、玉皇里、興南里,1400,"水災,震災",曾詠郎,06-2223291#701,是,是,是
1027,臺南市安平區,港仔里,觀音街33號,120.162984,23.000378,臺南市安平區觀音亭,港仔里,63,"水災,震災",吳高明月,06-2230523,是,否,是
1028,高雄市杉林區,杉林里,合森巷109號,120.552286,23.00041918,杉林社區活動中心,杉林,30,"水災,震災,土石流,海嘯",江明成,939723777,是,否,是
1029,高雄市六龜區,中興里,中庄194號,120.6448,23.0008,中興社區活動中心,中興里,100,"水災,震災,土石流,海嘯",中興里長王茗洋,0958-288315,是,否,是
1030,臺南市安平區,西門里,國勝路33號,120.160689,23.000908,臺南市安平區開台天后宮,西門里,198,水災,張省吾,06-2238695,是,否,是
1031,臺南市北區,安民里,西門路三段41號,120.2021,23.0014,臺南市北區立人國小,五福里、和順里、安民里、三德里,1400,"水災,震災",高斌領,06-2222054#88,是,是,是
1032,臺南市永康區,中華里,忠勇街51號,120.2381,23.0015,臺南市永康區中華里活動中心,中華里、成功里、神洲里、周邊居民,325,水災,林義泰,06-3131777,是,否,是
1033,臺南市中西區,西湖里,湖美街60巷31號,120.1808,23.0016,臺南市中西區西湖社區活動中心,西湖里、西賢里,260,水災,陳中海,931912566,是,否,是
1034,臺南市永康區,勝利里,勝利街37巷39號,120.2294,23.0021,臺南市永康區勝利里活動中心,勝利里、周邊居民,172,水災,卓進鏞,06-3126777,是,否,是
1035,臺南市北區,安民里,海安路三段59號,120.1992,23.0022,臺南市北區安民社區活動中心,安民里,80,水災,陳正武,06-2288999,是,否,是
1036,臺南市安平區,西門里,安北路180號,120.159508,23.002924,臺南市安平區西門國小-多功能教室及普通教室,全區,694,"水災,震災,海嘯",呂翠玲,06-3914142,是,否,是
1037,臺南市永康區,復興里,興國街100號,120.2427,23.003,臺南市永康區永康公園,全區,15500,震災,張正桓,06-2991111-6418,否,是,否
1038,臺南市中西區,光賢里,和善街98巷7號,120.189831,23.003161,臺南市中西區光賢里活動中心,光賢里、西湖里、文賢里,120,水災,楊隆郡,06-3583967,是,否,是
1039,臺南市北區,裕民里,臨安路二段93號,120.1973,23.0032,臺南市北區裕民社區活動中心,裕民里、文成里,80,水災,鄭智化,06-2287756,是,否,是
1040,高雄市內門區,金竹里,吉民53號,120.5074,23.0033,金竹社區活動中心,溝坪里、金竹里,120,"水災,震災,土石流,海嘯",林熾杉,6601992,是,否,是
1041,臺南市北區,重興里,東豐路451巷169號,120.2266,23.0036,臺南市北區重興社區活動中心,重興里、力行里、仁愛里、國興里、華興里,74,水災,鄭林阿雪,06-2383773,是,否,是
1042,臺南市北區,和順里,公園南路406號,120.2012,23.0037,臺南市北區和順里活動中心,和順里、成德里、長德里、興南里、六甲里,300,水災,吳杰,06-2253155,是,否,是
1043,臺南市安平區,海頭里,古堡街90巷33號,120.160277,23.004411,臺南市安平區海頭社區活動中心,海頭里,99,"水災,震災",丁榕萱,06-3915863,是,否,是
1044,臺南市永康區,崑山里,崑山街222巷11號,120.2602,23.0048,臺南市永康區崑山里活動中心,崑山里、周邊居民,187,,李忠信,06-2729843,是,否,否
1045,臺南市永康區,東灣里,民族路291號,120.2694,23.0051,臺南市永康區東灣里活動中心,東灣里、南灣里、大灣里、周邊居民,142,水災,李明堂,06-2721561,是,否,是
1046,高雄市六龜區,興龍里,土龍74號,120.6482,23.0051,興龍社區活動中心,興龍里,50,"水災,震災,土石流,海嘯",興龍里長張榮華,6893923、0926393713,是,否,是
1047,臺南市北區,和順里,西門路三段223號,120.2052,23.0054,臺南市北區民德國中,和順里、成德里、長德里、興南里、六甲里,700,"水災,震災",蔡美燕,06-2223014#16,是,是,是
1048,臺南市北區,文成里,文賢一路2號,120.1962,23.0057,臺南市北區文賢國中,文成里、裕民里、和順里,3100,"水災,震災",陳伯菖,06-2587571#111,是,是,是
1049,臺南市永康區,復國里,復國二路46號,120.2474,23.006,臺南市永康區復國里活動中心,復國里、光復里、建國里、周邊居民,447,水災,許建國,06-3116684,是,否,是
1050,臺東縣關山鎮,電光里,中興93號,121.1737,23.0061,關山鎮電光國民小學,電光里,200,"水災,震災",總務主任 游家榮,089-951142#03,是,是,否
1051,臺南市永康區,中興里,中興街40號,120.2402,23.0063,臺南市永康區中興里活動中心,中興里、三合里、周邊居民,96,水災,楊森斌,06-3128094,是,否,是
1052,臺南市左鎮區,岡林里,31號,120.4153,23.0074,臺南市左鎮區岡林國小,岡林里、草山里,150,"水災,震災",羅周文,06-5730389,是,是,是
1053,臺南市北區,賢北里,大興街599號,120.1792,23.0076,臺南市北區賢北國小,大和里、大港里、大豐里、賢北里,1320,"水災,震災",鍾祁芳,06-3501433#830,是,是,是
1054,臺南市北區,國姓里,公園路433巷15號1樓,120.209,23.0078,臺南市北區國姓社區活動中心,國姓里、興南里、六甲里、興北里,30,水災,莊金胞,06-2513827,是,否,是
1055,臺南市北區,賢北里,賢北街108號,120.1833,23.0086,臺南市北區賢北里活動中心,大和里、大港里、大豐里、賢北里,60,水災,黃富得,06-2800889,是,否,是
1056,臺南市北區,大仁里,和緯路一段1號,120.2165,23.009,臺南市北區大仁社區活動中心,大仁里、大山里、大道里、光武里,60,水災,莊淑芬,06-2832365,是,否,是
1057,臺南市新化區,大坑里,大坑尾182號,120.3849,23.009,臺南市新化區大坑里活動中心,大坑里,80,水災,黃永源里長,930858857,是,否,是
1058,臺南市永康區,六合里,中華二路358巷43號,120.2303,23.0091,臺南市永康區六合里活動中心,六合里、五王里、周邊居民,203,水災,李信輝,06-2012122,是,否,是
1059,高雄市內門區,金竹里,吉民28號,120.514514,23.009137,高雄市內門區金竹國民小學,金竹里,20,水災,龐偉華,6601106-30,是,否,否
1060,臺東縣關山鎮,電光里,3鄰中興85號,121.1652,23.0093,電光活動中心,電光里,50,"水災,震災",里長 潘寶瑩,89951472,是,是,否
1061,臺南市北區,延平里,公園路750號,120.2107,23.0095,臺南市北區延平國中,延平里、六甲里、大山里、國姓里、大道里,3376,"水災,震災",洪麗里,06-2514720#102,是,是,是
1062,臺南市永康區,三民里,中正北路底豐化橋南端,120.2405,23.0095,臺南市永康區體一運動公園,全區,21333,震災,徐屏屏,06-2029666,否,是,是
1063,臺南市北區,文元里,和緯路三段370號,120.1942,23.0099,臺南市北區文元文成里聯合活動中心,文元里、大豐里、文成里,30,水災,蘇來椿,06-2595189,是,否,是
1064,臺南市永康區,西灣里,永華街201巷12號,120.259,23.0102,臺南市永康區西灣里活動中心,西灣里、周邊居民,134,,陳永祥,06-2058388,是,否,否
1065,臺南市永康區,北灣里,文賢街332號,120.2673,23.0119,臺南市永康區北灣里活動中心,北灣里、周邊居民,51,,鄭瑞益,06-2714453,是,否,否
1066,臺東縣關山鎮,月眉里,盛豐路1號,121.1425,23.0126,關山鎮月眉國民小學,月眉里,40,"水災,震災,土石流",總務主任 陳慶榕,89811074,是,是,否
1067,臺南市北區,實踐里,大武街161號,120.2158,23.0134,臺南市北區實踐社區活動中心,實踐里、永祥里、小康里、光武里,35,水災,郭繼明,06-2520335,是,否,是
1068,臺南市北區,開元里,開元路71巷32號,120.2219,23.0138,臺南市北區開元國小,勝安里、中樓里、長榮里、新勝里、開元里、元寶里、振興里,2851,"水災,震災",蔡錦治,06-2375509#201,是,是,是
1069,臺南市安南區,海南里,府安路七段1巷2號,120.1822,23.0142,臺南市安南區海南里活動中心,海南里、幸福里,45,"水災,海嘯",吳森芳,06-2588013,是,否,是
1070,臺南市北區,正風里,長榮路五段452巷18號,120.2146,23.0142,臺南市北區昇平社區活動中心,正風里、正覺里、小康里,68,水災,陳雍明,06-2811148,是,否,是
1071,臺南市永康區,安康里,中華西街122巷62號,120.2281,23.0151,臺南市永康區安康里活動中心,安康里、周邊居民,52,水災,王君哲,06-3020833,是,否,是
1072,臺南市北區,文元里,海安路三段815號,120.2,23.0154,臺南市北區文元國小,成德里、成功里、文成里、文元里,1852,"水災,震災",黃振恭,06-3584371#801,是,是,是
1073,臺東縣關山鎮,月眉里,中和7之3號,121.1516,23.0159,月眉活動中心,月眉里,50,"水災,震災,土石流",里長 鄒秀清,89812872,是,是,否
1074,臺南市永康區,復華里,國華街110號,120.2452,23.0168,臺南市永康區復華里活動中心,復華里、二王里、周邊居民,467,水災,王松俊,06-2037669,是,否,是
1075,臺南市安南區,四草里,大眾路656號,120.128311,23.017087,臺南市安南區四草里活動中心,四草里,197,"水災,震災",王佐雄,06-2841285,是,否,是
1076,臺南市永康區,永康里,永大二路88號,120.26,23.0187,臺南市永康區社教中心,永康里、網寮里、崑山里、西灣里、北灣里、周邊居民,1500,水災,徐屏屏,06-2029666,是,否,是
1077,臺南市南化區,東和里,東和19-1號,120.4741,23.0206,臺南市南化區東和里活動中心,東和里 西埔里,110,"水災,震災",林志明,06-5775001,是,是,是
1078,臺南市永康區,尚頂里,中華路920號,120.2233,23.0211,臺南市永康區尚頂里活動中心,尚頂里、永康居民,46,水災,周三貴,06-2532328,是,否,是
1079,臺南市永康區,東橋里,東橋十街158號,120.2365,23.0212,臺南市永康區東橋里活動中心,東橋里、周邊居民,278,水災,陳振安,06-2325980,是,否,是
1080,臺南市永康區,大橋里,大橋三街230號,120.2296,23.0218,臺南市永康區大橋里活動中心,大橋里、西橋里、周邊居民,134,水災,李建志,06-2333420,是,否,是
1081,高雄市杉林區,集來里,通仙巷221-1號,120.5615,23.0222,集來社區活動中心,集來里8-11鄰,30,"水災,震災,土石流,海嘯",理事長黃保全,07-6779477,是,否,是
1082,高雄市杉林區,集來里,通仙巷333號,120.561499,23.022241,高雄市杉林區集來國民小學,集來里,480,"水災,震災,土石流,海嘯",校長潘淑琦,07-6779196,否,否,是
1083,臺南市永康區,新樹里,富強路二段98號,120.2751,23.0229,臺南市永康區新樹里活動中心,新樹里、西勢里、周邊居民,133,水災,陳日祥,06-2721555,是,否,是
1084,臺南市永康區,甲頂里,中華路920-1號,120.2144,23.0237,臺南市永康區甲頂里活動中心,甲頂里、周邊居民,46,水災,吳和祥,06-2519748,是,否,是
1085,臺南市安南區,安富里,郡安路5段164巷12弄1號,120.1966,23.02479,臺南市安南區安富里活動中心,國安里.安富里,221,"水災,震災",吳財國,06-2806601,是,否,是
1086,臺南市永康區,埔園里,中山南路655號,120.257,23.0261,臺南市永康區公所3樓禮堂,埔園里、正強里、周邊居民,98,水災,王峻明,06-2010308,是,否,是
1087,臺南市左鎮區,澄山里,77-3號,120.3855,23.0262,臺南市左鎮區光榮國小澄山分校,澄山里、二寮里,80,"水災,震災",穆宏男,06-5731848,是,是,是
1088,臺南市南化區,東和里,東和95號,120.4969,23.0264,臺南市南化區龍湖寺,東和里,80,"水災,震災",林志明,06-5775001,是,是,是
1089,臺南市永康區,永康里,永大三路30號,120.2579,23.0266,臺南市永康區探索教育公園,全區,20000,震災,鍾鳴達,06-2010308#120,否,是,否
1090,臺東縣成功鎮,信義里,"都歷路58號No.58, Duli Rd., Chenggong Township, Taitung County 961, Taiwan R.O.C.",121.330869,23.02686,"成功鎮信義國民小學 Xin-Yi Elementary School,Chenggon Township",信義里,100,"水災,土石流",楊正雄,089-841029,否,否,否
1091,臺南市安南區,溪東里,安富街166號,120.197792,23.026965,臺南市安南區海佃國民中學,本區各里,367,"水災,震災",吳振壬,06-3507486,是,否,是
1092,臺南市安南區,溪北里,文安街66號,120.213,23.027,臺南市安南區溪北里活動中心,溪北里,199,水災,王東從,06-2511066,是,否,是
1093,臺南市安南區,溪墘里,海佃路一段372巷50號,120.1922,23.0279,臺南市安南區溪墘里活動中心,溪墘里、海佃里,228,水災,許義雄,06-2592098,是,否,是
1094,臺南市永康區,永康里,中山南路637號,120.24811,23.027954,臺南市永康區永康國民小學,永康里、周邊居民,616,"水災,震災",周正偉,06-2324462#930,是,是,是
1095,臺東縣成功鎮,信義里,"都歷路115號No.115, Duli Rd., Chenggong Township, Taitung County 961, Taiwan R.O.C.",121.33089,23.028107,都歷活動中心 Du-Li Community Center,信義里,20,,林坤壇,089-85100437,否,否,否
1096,臺南市新化區,武安里,公園路110號,120.3067,23.0295,臺南市新化區體育公園,地震優先開設不分里,1000,震災,藍榮為課長,06-5905009,否,是,是
1097,臺南市安南區,安順里,安和路三段227號,120.2126,23.0313,臺南市安南區安順國中-順中館,安西里、新順里,1900,"水災,震災",鄭誌忠,06-3559652#140,是,是,是
1098,臺東縣東河鄉,北源村,美蘭19鄰43-1號,121.286649,23.031352,北源活動中心村辦公處,北源村,100,"水災,土石流,海嘯",江清霖理事長黃光福村幹事,089-891588宅089-891173村辦公處,否,否,否
1099,臺南市永康區,龍潭里,龍國街400號,120.2667,23.0314,臺南市永康區龍潭里活動中心,龍潭里、烏竹里、蔦松里、周邊居民,159,"水災,土石流,海嘯",陳舒奕,06-2012626,是,否,是
1100,高雄市六龜區,新發里,和平路130號,120.662467,23.031783,高雄市六龜區新發國民小學,新發里,354,"水災,土石流",畢家偉,6791387#40,否,否,否
1101,高雄市六龜區,新發里,和平路115之1號,120.6633,23.032,新發社區活動中心,新發里第一開設順位,100,"水災,震災,土石流,海嘯",新發里長劉俊麟,6791413、0963114332,是,否,是
1102,臺南市安南區,安西里,安西路101號,120.208978,23.032486,臺南市安南區安西里活動中心,安西里,310,水災,劉昆河,06-2475999,是,否,是
1103,臺南市新化區,豐榮里,洋子127號,120.2959,23.0334,臺南市新化區保生大帝廟,視地震需要開設，不分里,150,震災,林志聰主委,06-5987996,否,是,是
1104,臺南市安南區,安東里,安和路一段478巷2弄120號,120.214219,23.033564,臺南市安南區安東里活動中心,安東里,385,水災,吳金城,06-2462476,是,否,是
1105,高雄市杉林區,木梓里,茄苳巷160號,120.534542,23.033981,慈霖園原木梓國小,木梓里,200,"水災,震災,土石流,海嘯",李美鳳,07-6779232,是,否,是
1106,臺南市安南區,理想里,大安街135號,120.1931,23.034,臺南市安南區理想大安社區活動中心,理想里、大安里,281,水災,吳朝安,06-2456979,是,否,是
1107,臺東縣關山鎮,豐泉里,忠孝路18巷2號1樓,121.1682,23.0352,關山鎮老人文康活動中心,豐泉里里?里,100,"水災,震災",會長 張家禎,0963-002822,是,是,否
1108,臺南市安南區,?田里,?安路28號,120.1411,23.0367,臺南市安南區?田里活動中心,?田里,287,"水災,震災",王正德,06-3841797,是,是,是
1109,臺南市新化區,唪口里,太平街176 號,120.2991,23.0379,臺南市新化區大新國小大禮堂,視需要開設不分里,150,震災,林月珍總務主任,06-5982953#705,是,否,是
1110,臺南市新化區,護國里,中興路722號,120.3076,23.0379,臺南市新化區新化國中大禮堂,視需要開設不分里,500,水災,楊長春總務主任,06-5902269,是,否,是
1111,臺南市新化區,護國里,建國街40號,120.3093,23.038,臺南市新化區新化果菜市場停車場,視地震需要開設，不分里,150,震災,林勝仁總經理,06-5905908,否,是,是
1112,臺南市安南區,海西里,海環街186號,120.18432,23.038021,臺南市安南區海西里活動中心,海西里,202,水災,吳欽郎,06-2569119,是,否,是
1113,臺南市新化區,護國里,中山路130號,120.3108,23.0382,臺南市新化區公所3樓展演廳,優先開設不分里,100,水災,鄭諠,06-5905009,是,否,是
1114,臺南市新化區,協興里,中山路173號,120.311,23.0383,臺南市新化區新化國小大禮堂,視需要開設不分里,200,水災,黃春雄總務主任,06-5901810#704,是,否,是
1115,臺南市新化區,東榮里,信義路52號,120.3193,23.0386,臺南大學附屬啟聰學校活動中心,視需要時開設不分里,100,水災,蔡文卿總務主任,06-5903355#511,是,否,是
1116,臺南市新化區,太平里,忠孝路2號,120.3326,23.0391,臺南市新化區新化高中新民館,視需要時開設不分里,1000,水災,黃昆銘庶務組長,06-5982065#4002,是,否,是
1117,臺東縣關山鎮,里?里,崁頂46之1號,121.161,23.0392,里?活動中心,里?里,100,"水災,震災",里長 潘顯堂,89811229,是,是,否
1118,臺南市安南區,安慶里,長溪路一段168巷133號,120.2101,23.0397,臺南市安南區安慶里活動中心,安慶里、頂安里,413,水災,蕭振隆,06-2559812,是,否,是
1119,臺東縣東河鄉,北源村,順那21號,121.292706,23.039731,北源國小,北源村,111,"水災,土石流,海嘯",黃正吉總務主任,089-891103公,否,否,否
1120,臺南市永康區,埔園里,永大路三段618巷111號,120.252374,23.040107,臺南市永康區埔園里活動中心,埔園里、周邊居民,147,"水災,震災",王宗敏,06-2325631,是,否,是
1121,臺南市永康區,?行里,正南八街1號,120.2395,23.0402,臺南市永康區鹽行文化會館,鹽行里、鹽洲里、三民里、周邊居民,167,水災,盧文良,06-2531977,是,否,是
1122,臺南市新化區,唪口里,唪口142號之26,120.2901,23.0407,臺南市新化區唪口順天宮,視地震需要開設，不分里,200,震災,高對管理人,06-5987872,否,是,是
1123,臺南市安南區,梅花里,安中路一段703巷80號,120.192929,23.040741,臺南市安南區安慶國民小學,安和里、溪頂里、溪東里,1600,"水災,震災",黃俊傑,06-2460334,是,是,是
1124,臺南市安南區,顯宮里,媽祖宮一街136號,120.10991,23.04156,臺南市安南區鹿耳門天后宮-公館,鹿耳里,500,"水災,震災",林玉山,06-2841386,是,是,是
1125,臺東縣池上鄉,振興村,6鄰36號,121.1951,23.0426,臺東縣池上鄉萬安國民小學振興分校,振興村,100,"水災,震災,土石流",邱強義,089-951068,是,是,否
1126,臺南市南化區,南化里,南化172-1號,120.4776,23.0431,臺南市南化區老人文康中心,南化里,160,"水災,震災",黃玲玉,06-5771513,是,是,是
1127,高雄市甲仙區,寶隆里,光華路1號,120.55,23.0446,靈隱寺備用,全區,200,"水災,土石流",住持王老得副住持許良吉,07-6752123,是,否,是
1128,臺南市永康區,?洲里,鹽行路100巷40弄16號,120.2338,23.0448,臺南市永康區鹽洲里活動中心,鹽洲里、三民里、周邊居民,294,,毛三寶,06-2532090,是,否,否
1129,臺南市永康區,烏竹里,烏竹北街85號,120.2633,23.0449,臺南市永康區烏竹里活動中心,烏竹里、蔦松里、周邊居民,109,,陳壬子,06-2326561,是,否,否
1130,臺南市安南區,顯宮里,媽祖宮五街10號,120.127812,23.045997,臺南市安南區媽祖宮社區活動中心,顯宮里,393,水災,林進成,06-2841343,是,否,是
1131,臺東縣關山鎮,新福里,溪埔34之1號,121.1722,23.0461,新福活動中心,新福里,50,"水災,震災",里長 白光輝,89811777,是,是,否
1132,臺南市安南區,海東里,安中路二段308號,120.1848,23.0472,臺南市安南區公所,溪心里,80,水災,顏昇祺,06-2567126,是,是,是
1133,臺東縣關山鎮,中福里,中華路68號2樓,121.1636,23.0491,中福活動中心,中福里,100,"水災,震災",里長 黃昭仁,89811579,是,否,否
1134,臺南市安南區,海東里,安中路三段381號,120.174766,23.049279,臺南市安南區海東國民小學,淵中里、淵西里、海東里,1200,"水災,震災",劉珍琳,06-2567146,是,是,是
1135,高雄市甲仙區,寶隆里,光華路20號,120.555507,23.049345,高雄市甲仙區寶隆國民小學（備用）,寶隆里,150,,校長梁一成、總務主任林逸誠,675299810、675299831,是,否,是
1136,臺南市安南區,淵西里,安中路三段252號,120.1773,23.0496,臺南市安南區安南國中-禮堂,溪心里、淵東里,1750,"水災,震災",郭憲璋,06-2567384,是,是,是
1137,臺東縣成功鎮,信義里,"豐田路90號No.90, Fongtian Rd., Chenggong Township, Taitung County 961, Taiwan R.O.C.",121.338751,23.050198,豐田活動中心 Fong-Tian Community Center,信義里,20,"水災,土石流",林坤壇,089-85100437,否,否,否
1138,臺南市安南區,原佃里,本原街一段167巷36弄46號,120.1971,23.0505,臺南市安南區原佃里活動中心,原佃里,284,水災,林世民,06-2476967,是,否,是
1139,臺東縣關山鎮,豐泉里,中華路101號,121.1634,23.0506,關山鎮關山國民小學,豐泉里里?里,500,"水災,震災",事務組長 劉香君,89811012,是,是,是
1140,高雄市甲仙區,寶隆里,嶺頂巷65號,120.5642,23.0507,元宋太祖宮,西安里/大田/寶隆優先開設，不足時開大田老人活動中心,50,"水災,土石流",管理人蔡良文 吳小姐,07-6752559,是,否,是
1141,臺南市永康區,王行里,王行路866巷29弄118號,120.2778,23.0511,臺南市永康區王行里活動中心,王行里、周邊居民,104,水災,陳丁為,06-2044559,是,否,是
1142,臺東縣關山鎮,豐泉里,忠孝路18巷2號2樓,121.1536,23.0533,豐泉活動中心,豐泉里里?里,50,"水災,震災",里長 黃綱榮,89811858,是,是,否
1143,臺東縣關山鎮,德高里,7鄰永豐16號,121.1536,23.0533,關山鎮德高國民小學,德高里,200,"水災,震災,土石流",總務主任 方家銘,089-931149,是,是,是
1144,臺南市安南區,梅花里,安中路一段557巷25號,120.1699,23.05388,臺南市安南區梅花里活動中心,梅花里、鳳凰里,164,水災,蔡和豐,06-2550389,是,否,是
1145,臺南市南化區,中坑里,中坑38-6號,120.4715,23.0539,臺南市南化區中坑里活動中心,中坑里 北平里,80,"水災,震災",余玉糸,06-5775023,是,是,是
1146,高雄市桃源區,寶山里,二集團98號,120.7221,23.0554,高雄市桃源區寶山國民小學,寶山里,250,"水災,海嘯",里長陳林彩秀/里幹事謝巧孟,07-6894007/0977406671,是,否,是
1147,高雄市桃源區,寶山里,寶山里98 號,120.72159,23.055409,高雄市桃源區寶山國民小學,寶山里,150,"水災,震災",顏裕華,07-6861132,是,否,否
1148,臺南市左鎮區,中正里,170號,120.4106,23.0562,臺南市左鎮區左鎮國中,中正里、睦光里、內庄里,230,"水災,震災",蔡宜興,06-5731015,是,是,是
1149,臺南市左鎮區,中正里,171-4號,120.4087,23.0565,臺南市左鎮區公所,全區,40,"水災,震災",劉廣尉,06-3036518,是,否,是
1150,臺南市安南區,城西里,城西街三段431號,120.0956,23.057,臺南市安南區城西里活動中心,城西里,291,"水災,海嘯",嚴文正,06-2577688,是,否,是
1151,臺南市左鎮區,中正里,15-4號,120.4061,23.0577,臺南市左鎮區老人活動中心,中正里、左鎮里,40,水災,郭淑櫻,06-5731611,是,否,是
1152,臺南市安南區,城南里,城西街一段61巷28弄98號,120.1272,23.0606,臺南市安南區城南里活動中心,城南里,220,水災,蔡炳輝,06-2574626,是,否,是
1153,臺南市安南區,東和里,長和路一段805號,120.2287,23.062,臺南市安南區東和里活動中心,東和里,73,水災,莊福清,06-3566551,是,否,是
1154,臺南市安南區,布袋里,長和路四段231巷60弄41號,120.2071,23.0632,臺南市安南區布袋里活動中心,布袋里,223,水災,姜吉成,06-2471685,是,否,是
1155,臺南市安南區,佃西里,海佃路4段493號,120.173444,23.064001,臺南市安南區安佃國民小學,本區各里,150,"水災,震災",陳美惠,06-2567642,否,是,是
1156,臺南市新化區,羊林里,那拔林500號,120.3482,23.0646,臺南市新化區接天寺,視需要時開設不分里,400,"水災,震災",鍾明華會計主任,06-5911764,是,否,是
1157,臺南市左鎮區,榮和里,60-7號,120.3887,23.0646,臺南市左鎮區榮和里活動中心,榮和里,30,水災,邱國輝,06-5732282,是,否,是
1158,臺南市安南區,長安里,長溪路三段249號,120.197829,23.065467,臺南市安南區長安國民小學,長安里、公親里、總頭里,1250,"水災,震災",鄭國斌,06-3365595,是,是,是
1159,臺南市安南區,州北里,安和路5段84巷66號,120.2208,23.06584,臺南市安南區和順國民中學,本區各里,1179,"水災,震災",林明正,06-3551440,是,是,否
1160,臺南市安南區,佃西里,公學路四段325號,120.1743,23.0661,臺南市安南區佃東佃西社區活動中心,佃東里、佃西里,169,水災,高進見,06-2872962,是,否,是
1161,臺南市安南區,城東里,城北路195號,120.131192,23.066375,臺南市安南區土城國民小學,本區各里,1498,"水災,震災",張世昌,06-2577645,否,否,否
1162,臺南市安南區,城中里,城安路160號,120.1273,23.0668,臺南市安南區正統鹿耳門土城聖母廟,城北里、城中里,800,"水災,震災",王明義,06-2577547,是,是,是
1163,臺南市安南區,州北里,安和路五段178巷5號,120.218204,23.066821,臺南市安南區和順國民小學,州南里,1180,"水災,震災",柯禧慧,06-3560691,是,是,是
1164,臺南市安南區,城東里,城安路73號,120.127576,23.066898,臺南市安南區城東里活動中心,城東里,285,"水災,震災",郭峻民,06-2572101,是,是,是
1165,臺南市南化區,玉山里,玉山132-3號,120.5153,23.0676,臺南市南化區茅埔活動中心,玉山里,100,"水災,震災,土石流",邱永霖,06-5772128,是,是,是
1166,臺南市新化區,[上廿下那]拔里,那拔54號,120.3497,23.0677,臺南市新化區那拔國小操場,新化區,300,震災,李世賢總務主任,06-5911591,否,是,是
1167,臺南市安南區,[土?]南里,安昌街22號,120.2174,23.0682,臺南市安南區州北里活動中心,州北里,325,水災,謝加榮,06-3559953,是,否,是
1168,臺南市安南區,[土?]南里,安昌街130號,120.219603,23.071146,臺南市安南區塭南里活動中心,塭南里,335,水災,林同寶,06-3560368,是,否,是
1169,高雄市六龜區,荖濃里,南橫路97號,120.673772,23.0731,荖濃社區活動中心,荖濃里第1開設順位,100,"水災,震災,土石流",荖濃里長陳俊福,07-6882527,是,否,是
1170,臺南市安南區,南興里,公學路五段627號,120.160816,23.07394,臺南市安南區南興國民小學,南興里、公塭里,1090,"水災,震災",潘秀妲,06-2870077,是,是,是
